# Author: P. Alexander Burnham,,,,,,,,,,,
# Date: 26 March 2016,,,,,,,,,,,
#,,,,,,,,,,,
# Data Set: These data are Nosema counts and presence/absence data for 350 2014 Bombus survey bees. Included are %sucrose crop readings, species IDs, Caste IDs, proximity to apis meliffera and host plant.  ,,,,,,,,
# Data Source: These data are my own property ,,,,,,,,,,,
# Funding Source: APLE grant,,,,,,,,,,,
#,,,,,,,,,,,
# Data Collection: Bees were collected during the 2014 field season at 13 different sites in Northern Vermont (for coords see Nosema GIS) Ran vegitation and bee abundance transects, caught bombus and HB were possible. Collected flowering plants and ID'd host plant for captured bombus. Bees were dissected in 2015/2016. Ventriculi were homgenized in GITC buffer (ready for RT-qPCR work in future) and spore counts were done with a hemocytometer (2 counts 1 mean). Percent sucrose in crop was measured where possible (refractometer).,,,,,,,,,,
# Columns: FieldID,"	LabID","	Site (code)","	Caste (ID)"," 	Species (ID)","	Nosema Chamber 1 (count 1)","	Nosema Chamber 2 (count 2)","	NosemaPA (presence absence of parasite (binary))","	NosemaAverage (mean of ch. 1 and ch. 2)"," 	Sucrose (% sucrose in crop)","	Date", HB Proximity(near/far)
# Rows: Data points for all columns in order of lab ID,,,,,,,,,,,
# Missing values: NA ,,,,,,,,,,,
LabID,FieldID,Site,Caste ,Species,Chamber1,Chamber2,NosemaPA,NosemaAverage ,Sucrose,Date,hbPA
231,MRW-15,MRW,Male,Imp.,0,0,0,0,NA,8.6,Near
232,MRW-11,MRW,Worker,Imp.,0,0,0,0,NA,8.6,Near
233,MRW-10,MRW,Worker,Imp.,0,0,0,0,NA,8.6,Near
234,MRW-8,MRW,Worker,Tern.,0,0,0,0,35,8.6,Near
235,MRW-3,MRW,Worker,Vag.,0,0,0,0,NA,8.6,Near
236,MRW-19,MRW,Worker,Vag.,0,0,0,0,NA,8.6,Near
237,MRW-13,MRW,Worker,Imp.,0,0,0,0,NA,8.6,Near
238,MRW-7,MRW,Worker,Imp.,0,0,0,0,NA,8.6,Near
239,MRW-4,MRW,Worker,Terr.,NA,NA,NA,NA,NA,8.6,Near
240,MRW-5,MRW,Worker,Vag.,0,0,0,0,NA,8.6,Near
241,MRW-?,MRW,Worker,Imp.,0,0,0,0,NA,8.6,Near
242,MRW-20,MRW,Worker,Imp.,0,0,0,0,NA,8.6,Near
243,MRW-18,MRW,Worker,Bor.,0,0,0,0,NA,8.6,Near
244,PC-5,PC,Worker,Vag.,0,0,0,0,NA,8.12,Far
245,PC-12,PC,Worker,Vag.,0,0,0,0,43,8.12,Far
246,PC-18,PC,Worker,Imp.,0,0,0,0,35.5,8.12,Far
247,PC-6,PC,Worker,Imp.,0,0,0,0,NA,8.12,Far
248,PC-?-2,PC,Male,Bimac.,0,0,0,0,NA,8.12,Far
249,PC-7,PC,Worker,Vag.,0,0,0,0,NA,8.12,Far
250,PC-16,PC,Worker,Vag.,0,0,0,0,43,8.12,Far
251,PC-8,PC,Worker,Imp.,0,0,0,0,38,8.12,Far
252,PC-9,PC,Worker,Vag.,0,0,0,0,37,8.12,Far
253,PC-4,PC,Worker,Imp.,0,0,0,0,NA,8.12,Far
254,PC-8-2,PC,Worker,Imp.,0,0,0,0,NA,8.12,Far
255,PC-14,PC,Worker,Imp.,0,0,0,0,NA,8.12,Far
256,PC-20,PC,Worker,Vag.,0,0,0,0,NA,8.12,Far
257,PC-2,PC,Worker,Vag.,0,0,0,0,NA,8.12,Far
258,HORT-10,HORT,Worker,Bimac.,0,0,0,0,20,8.1,Near
259,HORT-9,HORT,Worker,Bimac.,0,0,0,0,24,8.1,Near
260,HORT-11,HORT,Worker,Bimac.,0,0,0,0,NA,8.1,Near
261,HORT-13,HORT,Worker,Bimac.,0,0,0,0,NA,8.1,Near
262,HORT-8,HORT,Worker,Bimac.,0,0,0,0,NA,8.1,Near
263,HORT-5,HORT,Worker,Bimac.,0,0,0,0,NA,8.1,Near
264,HORT-8-2,HORT,Worker,Bimac.,465,815,1,640,NA,8.1,Near
265,HORT-5-2,HORT,Worker,Bimac.,0,0,0,0,26,8.1,Near
266,HORT-11,HORT,Worker,Bimac.,0,0,0,0,20,8.1,Near
267,HORT-6,HORT,Worker,Imp.,0,0,0,0,34,8.1,Near
