ID,Colony ,Treatment ,Time,Exp,DateInnoc,DateFed,ColonyID,rounds of flowers,#bees taken,DateMicroMade,NumBeesAfTrans,DateMicroTrans,DateSacrificed,notes
205,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
206,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
207,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
208,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
209,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
210,2,HBT,NA,Trans,NA,NA,8,3,6,30-Aug,7,1-Sep,5-Sep,
211,2,C,NA,Trans,NA,NA,11,NA,1,9/3/18,7,7-Sep,11-Sep,
212,1,C,NA,Trans,NA,NA,10,NA,4,9/3/18,10,7-Sep,11-Sep,
213,1,C,NA,Trans,NA,NA,10,NA,4,9/3/18,10,7-Sep,11-Sep,
214,1,C,NA,Trans,NA,NA,10,NA,4,9/3/18,10,7-Sep,11-Sep,
215,1,C,NA,Trans,NA,NA,10,NA,4,9/3/18,10,7-Sep,11-Sep,
216,1,T,NA,Trans,NA,NA,12,2,4,9/3/18,8,7-Sep,11-Sep,
217,1,T,NA,Trans,NA,NA,12,2,4,9/3/18,8,7-Sep,11-Sep,
218,1,T,NA,Trans,NA,NA,12,2,4,9/3/18,8,7-Sep,11-Sep,
219,1,T,NA,Trans,NA,NA,12,2,4,9/3/18,8,7-Sep,11-Sep,
220,1,T,NA,Trans,NA,NA,14,2,1,9/3/18,8,7-Sep,11-Sep,
221,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
222,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
223,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
224,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
225,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
