Well,ID,target_name,Amp Score,Amp Status,Task,Cq,Cq_mean,Cq Standard Deviation,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Plate
E8,12.2,ACTIN,1.398,Amp,UNKNOWN,31.499,32.021,0.739,25.942,19.599,8.97,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,28,FALSE,40
F8,12.2,ACTIN,1.363,Amp,UNKNOWN,32.544,32.021,0.739,13.256,19.599,8.97,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,28,FALSE,40
A10,14.2,DWV,1.293,Amp,UNKNOWN,27.831,28.012,0.256,119.739,107.241,17.674,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,25,FALSE,40
B10,14.2,DWV,1.268,Amp,UNKNOWN,28.193,28.012,0.256,94.744,107.241,17.674,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,25,FALSE,40
E10,14.2,ACTIN,1.429,Amp,UNKNOWN,30.826,31.202,0.531,39.964,32.32,10.809,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,27,FALSE,40
F10,14.2,ACTIN,1.423,Amp,UNKNOWN,31.577,31.202,0.531,24.677,32.32,10.809,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,28,FALSE,40
A5,15.2,DWV,1.197,Amp,UNKNOWN,23.292,23.494,0.286,2261.908,2001.099,368.841,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,20,FALSE,40
B5,15.2,DWV,1.175,Amp,UNKNOWN,23.697,23.494,0.286,1740.289,2001.099,368.841,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,20,FALSE,40
E5,15.2,ACTIN,1.358,Amp,UNKNOWN,32.221,33.591,1.938,16.315,9.56,9.554,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,28,FALSE,40
F5,15.2,ACTIN,1.287,Inconclusive,UNKNOWN,34.962,33.591,1.938,2.804,9.56,9.554,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,31,FALSE,40
A6,12.1,DWV,0.902,Amp,UNKNOWN,29.019,28.802,0.57,55.507,66.967,26.3,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,25,FALSE,41
B6,12.1,DWV,0.843,Inconclusive,UNKNOWN,29.232,28.802,0.57,48.341,66.967,26.3,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,25,FALSE,41
C6,12.1,DWV,0.999,Amp,UNKNOWN,28.156,28.802,0.57,97.053,66.967,26.3,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,24,FALSE,41
