ID,Cq_mean,target_name,quantity_mean,Plate,ng.ul,dil.factor,genomeCopy,ACT_genomeCopy,PresentAbs,NormGenomeCopy,Colony,Treatment,Time,Exp,DateInnoc,DateFed,ColonyID,rounds.of.flowers,X.bees.taken,DateMicroMade,NumBeesAfTrans,DateMicroTrans,DateSacrificed,notes
44,28.542,DWV,75.58,32,20.93,1,18895,79387492.5,1,160225.1054,1,T,71,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,28.476,DWV,79.867,32,45.32,2.3,45923.525,189952722,1,162751.6684,2,T,15,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,28.334,DWV,86.473,32,23.38,1.2,25941.9,102421284,1,170509.0047,4,T,25,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,27.994,DWV,107.74,32,24.92,1.2,32322,80926164,1,268871.6582,4,T,47,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,26.629,DWV,260.741,32,55.34,2.8,182518.7,350584934,1,350469.2123,2,T,56,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,26.464,DWV,290.221,32,71.66,3.6,261198.9,487374030,1,360781.8775,3,T,4,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,27.189,DWV,181.557,32,32.65,1.6,72622.8,120966624,1,404150.5587,2,T,73,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,26.224,DWV,339.202,32,73.32,3.7,313761.85,469805076.5,1,449591.5977,3,T,9,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,26.102,DWV,368.873,32,56.23,2.8,258211.1,253841238,1,684775.928,4,T,43,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,26.748,DWV,242.254,32,19.24,1,60563.5,52850265,1,771435.3759,3,T,89,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,25.486,DWV,547.494,32,29.88,1.5,205310.25,71467522.5,1,1933916.235,1,T,35,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,DWV,NA,37,29.49,1.5,0,192903127.5,0,0,1,T,NA,Trans,NA,NA,12,2,4,9/3/18,8,7-Sep,11-Sep,
220,NA,DWV,NA,37,35.73,1.8,0,236813535,0,0,1,T,NA,Trans,NA,NA,14,2,1,9/3/18,8,7-Sep,11-Sep,
221,NA,DWV,NA,37,81.96,4.1,0,714791888.5,0,0,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
223,NA,DWV,NA,37,90.74,4.5,0,870973425,0,0,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
225,NA,DWV,NA,37,66.43,3.3,0,465025893.8,0,0,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
218,35.424,DWV,0.878,37,39.1,2,439,379162220,0,779.4265895,1,T,NA,Trans,NA,NA,12,2,4,9/3/18,8,7-Sep,11-Sep,
224,34.151,DWV,2.002,37,87.34,4.4,2202.2,497130458,1,2982.099574,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
55,NA,DWV,NA,38,21.81,1.1,0,936940.95,0,0,4,T,21,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,37.25,DWV,0.292,38,24.12,1.2,87.6,313230.3,1,188267.8202,3,T,5,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,33.582,DWV,3.37,38,26.78,1.3,1095.25,1188659.875,1,620285.1923,1,T,84,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33.108,DWV,4.32,38,88.63,4.4,4752,1472399.5,1,2172633.768,2,T,101,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,32.514,DWV,66.631,38,58.97,2.9,48307.475,6388805.85,1,5090147.904,3,T,108,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,36.413,DWV,0.463,39,40.11,2,231.5,108946080,0,1430.4581,2,T,1,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,28.909,DWV,59.742,39,28.22,1.4,20909.7,132699854,1,106075.0173,1,T,15,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
